full_name,name,owner,owner_type,created_at,updated_at,forks_count,stars_count,default_branch,topics,language,open_issues_count,open_pull_requests_count,branches_count,tags_count,commits_count,watchers_count,releases_count,packages_count,contributors_count,languages,close_issues_count,issues_count,close_pull_requests_count,pull_requests_count
ThrowTheSwitch/Unity,Unity,ThrowTheSwitch,Organization,2012-01-26T19:52:36Z,2023-02-18T09:06:54Z,818,2872,master,[],C,47,5,2,8,1240,155,7,0,108,"['C', 'Ruby', 'Python', 'Makefile', 'CMake', 'Meson', 'HTML']",219,266,387,392
stevedonovan/mosquitto-client,mosquitto-client,stevedonovan,User,2017-11-08T08:59:18Z,2023-02-08T19:54:39Z,8,15,master,"['client-library', 'mosquitto', 'mqtt', 'rust']",Rust,9,2,1,0,16,2,0,0,0,['Rust'],1,10,1,3
jsloth/marlin,marlin,jsloth,User,2021-07-20T07:55:35Z,2021-07-20T08:12:33Z,1,0,jsloth,[],C++,0,0,1,0,15453,1,0,0,755,"['C++', 'C', 'Python', 'Shell', 'Makefile', 'OpenSCAD']",0,0,0,0
kentora/renoweb-legacy,renoweb-legacy,kentora,User,2022-09-09T07:25:29Z,2022-12-18T06:59:46Z,1,2,master,[],Python,1,10,11,0,6,1,0,0,0,['Python'],0,1,29,39
smartish-home/erocm123.SmartThingsPublic,erocm123.SmartThingsPublic,smartish-home,Organization,2017-01-17T19:37:53Z,2020-06-15T14:16:34Z,25,8,master,[],Groovy,2,0,1,0,409,8,0,0,19,['Groovy'],0,2,0,0
google/googletest,googletest,google,Organization,2015-07-28T15:07:53Z,2023-02-19T14:36:20Z,9117,29030,main,[],C++,232,64,5,21,4120,1200,6,0,376,"['C++', 'Python', 'CMake', 'C', 'Starlark', 'Shell']",1829,2061,1796,1860
quiet/quiet-lwip,quiet-lwip,quiet,Organization,2016-05-25T00:05:52Z,2023-01-14T18:03:07Z,57,640,master,[],C,1,0,2,0,21,27,0,0,0,['C'],2,3,0,0
PetruSicoe/Python101-GameProject,Python101-GameProject,PetruSicoe,User,2021-05-10T17:42:24Z,2021-05-10T21:28:03Z,0,0,main,[],Python,0,0,5,0,9,1,0,0,2,['Python'],0,0,4,4
PetruSicoe/Proiect_PM_2021,Proiect_PM_2021,PetruSicoe,User,2021-06-02T14:01:28Z,2021-06-02T14:03:33Z,0,0,main,[],C++,0,0,1,0,1,1,0,0,0,['C++'],0,0,0,0
ShubhamMalasane/ShubhamMalasane,ShubhamMalasane,ShubhamMalasane,User,2022-07-06T05:15:34Z,2022-07-06T05:15:34Z,0,0,main,"['config', 'github-config']",,0,0,0,0,0,0,0,0,0,[],0,0,0,0
